ltot		l1		l2		l3		dtof	dlambda		dtof1ord	dMterm	dSterm	dXterm	dDterm
 5376.244031    5004.187143     197.160384     174.896504   4.279107e-003   4.628692e-003   8.475532e-010   0.000000e+000   7.698216e-010   6.144349e-010   -5.367033e-010
 5381.532101    5000.825958     198.489557     182.216586   -2.996836e-003   -1.978227e-003   1.251285e-010   0.000000e+000   -4.260071e-010   1.072902e-009   -5.217667e-010
 5378.767558    4995.764230     201.385919     181.617410   4.346239e-003   1.734487e-003   -7.047888e-010   0.000000e+000   -1.990925e-009   8.665040e-010   4.196325e-010
 5375.971539    4996.227617     203.690282     176.053640   -2.966042e-003   4.408755e-003   -1.310774e-009   0.000000e+000   -2.788177e-010   -1.104157e-010   -9.215411e-010
 5377.291023    5000.141099     196.685429     180.464495   -2.926158e-003   2.895444e-003   -2.162128e-009   0.000000e+000   -1.809839e-009   6.519182e-010   -1.004208e-009
 5379.169332    4996.830912     201.924845     180.413575   -6.311560e-003   4.893487e-004   -2.491697e-009   0.000000e+000   -7.671662e-010   -1.004969e-009   -7.195622e-010
 5378.571503    4999.594865     205.781263     173.195375   1.231400e-002   2.545669e-003   4.677217e-009   0.000000e+000   2.755871e-009   1.882514e-009   3.883195e-011
 5384.590832    5001.706326     198.559058     184.325448   2.964273e-003   -5.046723e-003   -1.361960e-010   0.000000e+000   4.415663e-010   -2.073055e-009   1.495293e-009
 5376.144772    4997.799818     200.588703     177.756252   4.638815e-003   4.769251e-003   1.604790e-010   0.000000e+000   -1.204091e-009   1.322395e-009   4.217499e-011
 5385.693158    5002.097114     200.966465     182.629578   -1.507442e-002   -7.634540e-003   4.349989e-009   0.000000e+000   1.756952e-009   9.992675e-010   1.593770e-009
 5386.126398    5005.394383     197.300548     183.431468   9.784708e-003   -6.304731e-003   -1.310816e-010   0.000000e+000   1.903140e-009   -1.716155e-009   -3.180664e-010
 5382.333095    5000.960869     197.376431     183.995796   7.219998e-003   -2.145912e-003   -8.177974e-010   0.000000e+000   -7.852950e-010   2.905907e-010   -3.230930e-010
 5385.739505    4999.250904     202.591760     183.896841   -9.448407e-004   -6.649738e-003   2.487937e-010   0.000000e+000   1.024687e-009   -3.182796e-010   -4.576136e-010
 5373.088849    4999.581736     197.094810     176.412303   8.448594e-004   8.004487e-003   -1.344848e-009   0.000000e+000   -1.957738e-009   1.365864e-010   4.763039e-010
 5378.264812    5000.479696     196.147365     181.637751   -7.354180e-003   1.451213e-003   -2.259420e-009   0.000000e+000   -2.048544e-009   1.717633e-010   -3.826398e-010
 5379.298588    5001.730797     198.719215     178.848576   -3.565572e-003   5.429124e-004   1.461027e-009   0.000000e+000   2.155461e-010   5.394032e-010   7.060781e-010
 5382.874116    5004.518774     195.955721     182.399621   -7.510991e-003   -3.848930e-003   9.969884e-010   0.000000e+000   3.173373e-010   -5.249987e-010   1.204650e-009
 5374.759022    5001.953674     195.827075     176.978273   3.265256e-003   6.261387e-003   -7.802409e-010   0.000000e+000   -1.099344e-009   5.142318e-010   -1.951287e-010
 5384.130725    4999.737671     199.958836     184.434219   3.718392e-003   -4.464075e-003   -5.420059e-011   0.000000e+000   -8.884212e-011   -5.686654e-010   6.033069e-010
